"Source","Statistic","Reported.Comparison","Reported.P.Value","Raw"
"4811","Does Higher Education Cause Religious Decline - Schwadel","p","<",0.001,"p < .001"
"4911","Does Higher Education Cause Religious Decline - Schwadel","p","<",0.001,"p < .001"
"5011","Does Higher Education Cause Religious Decline - Schwadel","p","<",0.01,"p < .01"
"5136","Does Higher Education Cause Religious Decline - Schwadel","p","ns",NA,"(NS"
"1167","Does Marriage Moderate Genetic Effects on Delinquency and Violence  - Li - 2015","p","ns",NA," ns"
"2146","Does Marriage Moderate Genetic Effects on Delinquency and Violence  - Li - 2015","p","=",0.96,"p = .96"
"3138","Does Marriage Moderate Genetic Effects on Delinquency and Violence  - Li - 2015","p","<",0.05,"p < .05"
"4137","Does Marriage Moderate Genetic Effects on Delinquency and Violence  - Li - 2015","p","<",0.01,"p < .01"
"5137","Does Marriage Moderate Genetic Effects on Delinquency and Violence  - Li - 2015","p","<",0.001,"p < .001"
"6134","Does Marriage Moderate Genetic Effects on Delinquency and Violence  - Li - 2015","p","<",0.001,"p < .001"
"7133","Does Marriage Moderate Genetic Effects on Delinquency and Violence  - Li - 2015","p","<",0.01,"p < .01"
"8131","Does Marriage Moderate Genetic Effects on Delinquency and Violence  - Li - 2015","p","<",0.001,"p < .001"
"1168","Does Partner Responsiveness Predict Hedonic and Eudaimonic Well-being  A 10-Year Longitudinal Study - Selcuk - 2015","p","ns",NA,"(NS"
"2147","Does Partner Responsiveness Predict Hedonic and Eudaimonic Well-being  A 10-Year Longitudinal Study - Selcuk - 2015","p","=",0.079,"p = .079"
"3139","Does Partner Responsiveness Predict Hedonic and Eudaimonic Well-being  A 10-Year Longitudinal Study - Selcuk - 2015","p","<",0.001,"p < .001"
"4138","Does Partner Responsiveness Predict Hedonic and Eudaimonic Well-being  A 10-Year Longitudinal Study - Selcuk - 2015","p","<",0.001,"p < .001"
"5138","Does Partner Responsiveness Predict Hedonic and Eudaimonic Well-being  A 10-Year Longitudinal Study - Selcuk - 2015","p","ns",NA," NS"
"6135","Does Partner Responsiveness Predict Hedonic and Eudaimonic Well-being  A 10-Year Longitudinal Study - Selcuk - 2015","p","ns",NA," NS"
"7134","Does Partner Responsiveness Predict Hedonic and Eudaimonic Well-being  A 10-Year Longitudinal Study - Selcuk - 2015","p","ns",NA," NS"
"8132","Does Partner Responsiveness Predict Hedonic and Eudaimonic Well-being  A 10-Year Longitudinal Study - Selcuk - 2015","p","ns",NA," NS"
"962","Does Partner Responsiveness Predict Hedonic and Eudaimonic Well-being  A 10-Year Longitudinal Study - Selcuk - 2015","p","=",0.012,"p = .012"
"1036","Does Partner Responsiveness Predict Hedonic and Eudaimonic Well-being  A 10-Year Longitudinal Study - Selcuk - 2015","p","ns",NA," NS"
"1169","Does Partner Responsiveness Predict Hedonic and Eudaimonic Well-being  A 10-Year Longitudinal Study - Selcuk - 2015","p","ns",NA," NS"
"1230","Does Partner Responsiveness Predict Hedonic and Eudaimonic Well-being  A 10-Year Longitudinal Study - Selcuk - 2015","p","<",0.05,"p < .05"
"1327","Does Partner Responsiveness Predict Hedonic and Eudaimonic Well-being  A 10-Year Longitudinal Study - Selcuk - 2015","p","<",0.01,"p < .01"
"1426","Does Partner Responsiveness Predict Hedonic and Eudaimonic Well-being  A 10-Year Longitudinal Study - Selcuk - 2015","p","<",0.001,"p < .001"
"1525","Does Partner Responsiveness Predict Hedonic and Eudaimonic Well-being  A 10-Year Longitudinal Study - Selcuk - 2015","p","ns",NA," NS"
"1625","Does Partner Responsiveness Predict Hedonic and Eudaimonic Well-being  A 10-Year Longitudinal Study - Selcuk - 2015","p","=",0.027,"p = .027"
"1723","Does Partner Responsiveness Predict Hedonic and Eudaimonic Well-being  A 10-Year Longitudinal Study - Selcuk - 2015","p","<",0.001,"p < .001"
"1822","Does Partner Responsiveness Predict Hedonic and Eudaimonic Well-being  A 10-Year Longitudinal Study - Selcuk - 2015","p","<",0.001,"p < .001"
"1921","Does Partner Responsiveness Predict Hedonic and Eudaimonic Well-being  A 10-Year Longitudinal Study - Selcuk - 2015","p","<",0.001,"p < .001"
"2021","Does Partner Responsiveness Predict Hedonic and Eudaimonic Well-being  A 10-Year Longitudinal Study - Selcuk - 2015","p","<",0.001,"p < .001"
"2148","Does Partner Responsiveness Predict Hedonic and Eudaimonic Well-being  A 10-Year Longitudinal Study - Selcuk - 2015","p","<",0.001,"p < .001"
"2219","Does Partner Responsiveness Predict Hedonic and Eudaimonic Well-being  A 10-Year Longitudinal Study - Selcuk - 2015","p","=",0.004,"p = .004"
"2319","Does Partner Responsiveness Predict Hedonic and Eudaimonic Well-being  A 10-Year Longitudinal Study - Selcuk - 2015","p","=",0.172,"p = .172"
"2419","Does Partner Responsiveness Predict Hedonic and Eudaimonic Well-being  A 10-Year Longitudinal Study - Selcuk - 2015","p","<",0.001,"p < .001"
"2517","Does Partner Responsiveness Predict Hedonic and Eudaimonic Well-being  A 10-Year Longitudinal Study - Selcuk - 2015","p","=",0.004,"p = .004"
"2616","Does Partner Responsiveness Predict Hedonic and Eudaimonic Well-being  A 10-Year Longitudinal Study - Selcuk - 2015","p","ns",NA,"(NS"
"1170","Does Racial Isolation in School Lead to Long-Term Disadvantages  Labor Market Consequences of High School Racial Composition","p","",0.05,"P < .05"
"2149","Does Racial Isolation in School Lead to Long-Term Disadvantages  Labor Market Consequences of High School Racial Composition","p","",0.05,"P < .05"
"3140","Does Racial Isolation in School Lead to Long-Term Disadvantages  Labor Market Consequences of High School Racial Composition","p","",0.01,"P < .01"
"4139","Does Racial Isolation in School Lead to Long-Term Disadvantages  Labor Market Consequences of High School Racial Composition","p","",0.05,"P < .05"
"5139","Does Racial Isolation in School Lead to Long-Term Disadvantages  Labor Market Consequences of High School Racial Composition","p","",0.01,"P < .01"
"6136","Does Racial Isolation in School Lead to Long-Term Disadvantages  Labor Market Consequences of High School Racial Composition","p","",0.05,"P < .05"
"7135","Does Racial Isolation in School Lead to Long-Term Disadvantages  Labor Market Consequences of High School Racial Composition","p","",0.01,"P < .01"
"8133","Does Racial Isolation in School Lead to Long-Term Disadvantages  Labor Market Consequences of High School Racial Composition","p","",0.05,"P < .05"
"963","Does Racial Isolation in School Lead to Long-Term Disadvantages  Labor Market Consequences of High School Racial Composition","p","",0.01,"P < .01"
"1037","Does Racial Isolation in School Lead to Long-Term Disadvantages  Labor Market Consequences of High School Racial Composition","p","",0.1,"P < .10"
"1171","Does Racial Isolation in School Lead to Long-Term Disadvantages  Labor Market Consequences of High School Racial Composition","p","",0.05,"P < .05"
"1231","Does Racial Isolation in School Lead to Long-Term Disadvantages  Labor Market Consequences of High School Racial Composition","p","",0.01,"P < .01"
"1328","Does Racial Isolation in School Lead to Long-Term Disadvantages  Labor Market Consequences of High School Racial Composition","p","",0.05,"P < .05"
"1427","Does Racial Isolation in School Lead to Long-Term Disadvantages  Labor Market Consequences of High School Racial Composition","p","",0.01,"P < .01"
"1526","Does Racial Isolation in School Lead to Long-Term Disadvantages  Labor Market Consequences of High School Racial Composition","p","",0.05,"P < .05"
"1626","Does Racial Isolation in School Lead to Long-Term Disadvantages  Labor Market Consequences of High School Racial Composition","p","",0.01,"P < .01"
"1172","Does the Amount of Time Mothers Spend With Children or Adolescents Matter  - Milkie - 2015","p","<",0.001,"p < .001"
"2150","Does the Amount of Time Mothers Spend With Children or Adolescents Matter  - Milkie - 2015","p","<",0.001,"p < .001"
"3141","Does the Amount of Time Mothers Spend With Children or Adolescents Matter  - Milkie - 2015","p","<",0.001,"p < .001"
"4140","Does the Amount of Time Mothers Spend With Children or Adolescents Matter  - Milkie - 2015","p","<",0.001,"p < .001"
"5140","Does the Amount of Time Mothers Spend With Children or Adolescents Matter  - Milkie - 2015","p","<",0.05,"p < .05"
"6137","Does the Amount of Time Mothers Spend With Children or Adolescents Matter  - Milkie - 2015","p","<",0.05,"p < .05"
"7136","Does the Amount of Time Mothers Spend With Children or Adolescents Matter  - Milkie - 2015","p","<",0.01,"p < .01"
"8134","Does the Amount of Time Mothers Spend With Children or Adolescents Matter  - Milkie - 2015","p","<",0.001,"p < .001"
"964","Does the Amount of Time Mothers Spend With Children or Adolescents Matter  - Milkie - 2015","p","<",0.05,"p < .05"
"1038","Does the Amount of Time Mothers Spend With Children or Adolescents Matter  - Milkie - 2015","p","<",0.01,"p < .01"
"1173","Does the Amount of Time Mothers Spend With Children or Adolescents Matter  - Milkie - 2015","p","<",0.001,"p < .001"
"1232","Does the Amount of Time Mothers Spend With Children or Adolescents Matter  - Milkie - 2015","p","<",0.01,"p < .01"
"1329","Does the Amount of Time Mothers Spend With Children or Adolescents Matter  - Milkie - 2015","p","<",0.05,"p < .05"
"1428","Does the Amount of Time Mothers Spend With Children or Adolescents Matter  - Milkie - 2015","p","<",0.01,"p < .01"
"1527","Does the Amount of Time Mothers Spend With Children or Adolescents Matter  - Milkie - 2015","p","<",0.001,"p < .001"
"1627","Does the Amount of Time Mothers Spend With Children or Adolescents Matter  - Milkie - 2015","p","<",0.05,"p < .05"
"1724","Does the Amount of Time Mothers Spend With Children or Adolescents Matter  - Milkie - 2015","p","<",0.01,"p < .01"
"1823","Does the Amount of Time Mothers Spend With Children or Adolescents Matter  - Milkie - 2015","p","<",0.001,"p < .001"
"1174","Dohoon Lee, Sara McLanahan, 2015","p","<",0.05,"p < .05"
"2151","Dohoon Lee, Sara McLanahan, 2015","p","<",0.01,"p < .01"
"3142","Dohoon Lee, Sara McLanahan, 2015","p","<",0.001,"p < .001"
"4141","Dohoon Lee, Sara McLanahan, 2015","p","<",0.05,"p < .05"
"5141","Dohoon Lee, Sara McLanahan, 2015","p","<",0.01,"p < .01"
"6138","Dohoon Lee, Sara McLanahan, 2015","p","<",0.001,"p < .001"
"7137","Dohoon Lee, Sara McLanahan, 2015","p","<",0.05,"p < .05"
"8135","Dohoon Lee, Sara McLanahan, 2015","p","<",0.01,"p < .01"
"965","Dohoon Lee, Sara McLanahan, 2015","p","<",0.001,"p < .001"
"1039","Dohoon Lee, Sara McLanahan, 2015","p","<",0.05,"p < .05"
"1175","Dohoon Lee, Sara McLanahan, 2015","p","<",0.05,"p < .05"
"1233","Dohoon Lee, Sara McLanahan, 2015","p","<",0.01,"p < .01"
"1330","Dohoon Lee, Sara McLanahan, 2015","p","<",0.05,"p < .05"
"1429","Dohoon Lee, Sara McLanahan, 2015","p","<",0.05,"p < .05"
"1528","Dohoon Lee, Sara McLanahan, 2015","p","<",0.05,"p < .05"
"1628","Dohoon Lee, Sara McLanahan, 2015","p","<",0.05,"p < .05"
"1725","Dohoon Lee, Sara McLanahan, 2015","p","<",0.05,"p < .05"
"1824","Dohoon Lee, Sara McLanahan, 2015","p","<",0.01,"p < .01"
"1922","Dohoon Lee, Sara McLanahan, 2015","p","<",0.05,"p < .05"
"2022","Dohoon Lee, Sara McLanahan, 2015","p","<",0.05,"p < .05"
"2152","Dohoon Lee, Sara McLanahan, 2015","p","<",0.05,"p < .05"
"2220","Dohoon Lee, Sara McLanahan, 2015","p","<",0.05,"p < .05"
"2320","Dohoon Lee, Sara McLanahan, 2015","p","<",0.01,"p < .01"
"2420","Dohoon Lee, Sara McLanahan, 2015","p","<",0.001,"p < .001"
"2518","Dohoon Lee, Sara McLanahan, 2015","p","<",0.05,"p < .05"
"2617","Dohoon Lee, Sara McLanahan, 2015","p","<",0.01,"p < .01"
"2716","Dohoon Lee, Sara McLanahan, 2015","p","<",0.001,"p < .001"
"1176","Doing Violence, Making Race  Southern Lynching and White Racial Group Formation","p","",0,"P > .00"
"2153","Doing Violence, Making Race  Southern Lynching and White Racial Group Formation","p","",0,"P > .00"
"3143","Doing Violence, Making Race  Southern Lynching and White Racial Group Formation","p","",0.05,"P < .05"
"4142","Doing Violence, Making Race  Southern Lynching and White Racial Group Formation","p","",0.01,"P < .01"
"5142","Doing Violence, Making Race  Southern Lynching and White Racial Group Formation","p","",0.05,"P < .05"
"6139","Doing Violence, Making Race  Southern Lynching and White Racial Group Formation","p","",0.01,"P < .01"
"7138","Doing Violence, Making Race  Southern Lynching and White Racial Group Formation","p","",0.1,"P < .10"
"8136","Doing Violence, Making Race  Southern Lynching and White Racial Group Formation","p","",0.05,"P < .05"
"966","Doing Violence, Making Race  Southern Lynching and White Racial Group Formation","p","",0.01,"P < .01"
"1040","Doing Violence, Making Race  Southern Lynching and White Racial Group Formation","p","",0.1,"P < .10"
"1177","Doing Violence, Making Race  Southern Lynching and White Racial Group Formation","p","",0.05,"P < .05"
"1234","Doing Violence, Making Race  Southern Lynching and White Racial Group Formation","p","",0.01,"P < .01"
"1331","Doing Violence, Making Race  Southern Lynching and White Racial Group Formation","p","",0.1,"P < .10"
"1430","Doing Violence, Making Race  Southern Lynching and White Racial Group Formation","p","",0.05,"P < .05"
"1529","Doing Violence, Making Race  Southern Lynching and White Racial Group Formation","p","",0.01,"P < .01"
"1178","Drivers of Customer Relationships in Quick-Service Restaurants - Krist R. Swimberghe, Barbara Ross Wooldridge, 2014","p","<",0,"p < .000"
"2154","Drivers of Customer Relationships in Quick-Service Restaurants - Krist R. Swimberghe, Barbara Ross Wooldridge, 2014","p","<",0,"p < .000"
"3144","Drivers of Customer Relationships in Quick-Service Restaurants - Krist R. Swimberghe, Barbara Ross Wooldridge, 2014","p","<",0,"p < .000"
"4143","Drivers of Customer Relationships in Quick-Service Restaurants - Krist R. Swimberghe, Barbara Ross Wooldridge, 2014","p","<",0,"p < .000"
"5143","Drivers of Customer Relationships in Quick-Service Restaurants - Krist R. Swimberghe, Barbara Ross Wooldridge, 2014","p","<",0,"p < .000"
"6140","Drivers of Customer Relationships in Quick-Service Restaurants - Krist R. Swimberghe, Barbara Ross Wooldridge, 2014","p","<",0.004,"p < .004"
"7139","Drivers of Customer Relationships in Quick-Service Restaurants - Krist R. Swimberghe, Barbara Ross Wooldridge, 2014","p","<",0,"p < .000"
"8137","Drivers of Customer Relationships in Quick-Service Restaurants - Krist R. Swimberghe, Barbara Ross Wooldridge, 2014","p","<",0,"p < .000"
"1179","Dynamic Family System Trajectories From Pregnancy to Child's First Year","p","ns",NA,";ns"
"2155","Dynamic Family System Trajectories From Pregnancy to Child's First Year","p","=",0.001,"p = .001"
"3145","Dynamic Family System Trajectories From Pregnancy to Child's First Year","p","=",0.046,"p = .046"
"4144","Dynamic Family System Trajectories From Pregnancy to Child's First Year","p","=",0.011,"p = .011"
"5144","Dynamic Family System Trajectories From Pregnancy to Child's First Year","p","=",0.024,"p = .024"
"6141","Dynamic Family System Trajectories From Pregnancy to Child's First Year","p","<",0.001,"p < .001"
"7140","Dynamic Family System Trajectories From Pregnancy to Child's First Year","p","<",0.001,"p < .001"
"8138","Dynamic Family System Trajectories From Pregnancy to Child's First Year","p","ns",NA,"(ns"
"967","Dynamic Family System Trajectories From Pregnancy to Child's First Year","p","ns",NA,"(ns"
"1042","Dynamic Family System Trajectories From Pregnancy to Child's First Year","p","<",0.001,"p < .001"
"1180","Dynamic Family System Trajectories From Pregnancy to Child's First Year","p","<",0.001,"p < .001"
"1235","Dynamic Family System Trajectories From Pregnancy to Child's First Year","p","<",0.001,"p < .001"
"1332","Dynamic Family System Trajectories From Pregnancy to Child's First Year","p","<",0.001,"p < .001"
"1431","Dynamic Family System Trajectories From Pregnancy to Child's First Year","p","<",0.001,"p < .001"
"1530","Dynamic Family System Trajectories From Pregnancy to Child's First Year","p","<",0.001,"p < .001"
"1629","Dynamic Family System Trajectories From Pregnancy to Child's First Year","p","<",0.001,"p < .001"
"1726","Dynamic Family System Trajectories From Pregnancy to Child's First Year","p","<",0.001,"p < .001"
"1825","Dynamic Family System Trajectories From Pregnancy to Child's First Year","p","<",0.001,"p < .001"
"1923","Dynamic Family System Trajectories From Pregnancy to Child's First Year","p","<",0.001,"p < .001"
"2023","Dynamic Family System Trajectories From Pregnancy to Child's First Year","p","=",0.004,"p = .004"
"2156","Dynamic Family System Trajectories From Pregnancy to Child's First Year","p","=",0.042,"p = .042"
"2221","Dynamic Family System Trajectories From Pregnancy to Child's First Year","p","=",0.002,"p = .002"
"2321","Dynamic Family System Trajectories From Pregnancy to Child's First Year","p","=",0.049,"p = .049"
"2421","Dynamic Family System Trajectories From Pregnancy to Child's First Year","p","<",0.001,"p < .001"
"2519","Dynamic Family System Trajectories From Pregnancy to Child's First Year","p","<",0.001,"p < .001"
"2618","Dynamic Family System Trajectories From Pregnancy to Child's First Year","p","<",0.001,"p < .001"
"2717","Dynamic Family System Trajectories From Pregnancy to Child's First Year","p","<",0.001,"p < .001"
"2816","Dynamic Family System Trajectories From Pregnancy to Child's First Year","p","=",0.002,"p = .002"
"2914","Dynamic Family System Trajectories From Pregnancy to Child's First Year","p","<",0.001,"p < .001"
"3013","Dynamic Family System Trajectories From Pregnancy to Child's First Year","p","=",0.046,"p = .046"
"3146","Dynamic Family System Trajectories From Pregnancy to Child's First Year","p","<",0.001,"p < .001"
"3213","Dynamic Family System Trajectories From Pregnancy to Child's First Year","p","=",0.004,"p = .004"
"3313","Dynamic Family System Trajectories From Pregnancy to Child's First Year","p","<",0.001,"p < .001"
"3413","Dynamic Family System Trajectories From Pregnancy to Child's First Year","p","=",0.037,"p = .037"
"3513","Dynamic Family System Trajectories From Pregnancy to Child's First Year","p","=",0.002,"p = .002"
"3612","Dynamic Family System Trajectories From Pregnancy to Child's First Year","p","=",0.025,"p = .025"
"3712","Dynamic Family System Trajectories From Pregnancy to Child's First Year","p","<",0.001,"p < .001"
"3812","Dynamic Family System Trajectories From Pregnancy to Child's First Year","p","=",0.009,"p = .009"
"3912","Dynamic Family System Trajectories From Pregnancy to Child's First Year","p","=",0.001,"p = .001"
"4012","Dynamic Family System Trajectories From Pregnancy to Child's First Year","p","=",0.002,"p = .002"
"4145","Dynamic Family System Trajectories From Pregnancy to Child's First Year","p","=",0.029,"p = .029"
"4212","Dynamic Family System Trajectories From Pregnancy to Child's First Year","p","=",0.003,"p = .003"
"4312","Dynamic Family System Trajectories From Pregnancy to Child's First Year","p","=",0.019,"p = .019"
"4412","Dynamic Family System Trajectories From Pregnancy to Child's First Year","p","=",0.003,"p = .003"
"4512","Dynamic Family System Trajectories From Pregnancy to Child's First Year","p","=",0.021,"p = .021"
"4612","Dynamic Family System Trajectories From Pregnancy to Child's First Year","p","=",0.003,"p = .003"
"4712","Dynamic Family System Trajectories From Pregnancy to Child's First Year","p","ns",NA,"(ns"
"4812","Dynamic Family System Trajectories From Pregnancy to Child's First Year","p","ns",NA,";ns"
"1181","Dynamics of Domestic Labor Across Short- and Long-Distance Family Relocations - Vidal - 2015","p","<",0.1,"p < .10"
"2157","Dynamics of Domestic Labor Across Short- and Long-Distance Family Relocations - Vidal - 2015","p","<",0.05,"p < .05"
"3147","Dynamics of Domestic Labor Across Short- and Long-Distance Family Relocations - Vidal - 2015","p","<",0.01,"p < .01"
"4146","Dynamics of Domestic Labor Across Short- and Long-Distance Family Relocations - Vidal - 2015","p","<",0.01,"p < .01"
"5145","Dynamics of Domestic Labor Across Short- and Long-Distance Family Relocations - Vidal - 2015","p","<",0.01,"p < .01"
"6142","Dynamics of Domestic Labor Across Short- and Long-Distance Family Relocations - Vidal - 2015","p","<",0.01,"p < .01"
"7141","Dynamics of Domestic Labor Across Short- and Long-Distance Family Relocations - Vidal - 2015","p",">",0.1,"p > .10"
"8139","Dynamics of Domestic Labor Across Short- and Long-Distance Family Relocations - Vidal - 2015","p",">",0.1,"p > .10"
"968","Dynamics of Domestic Labor Across Short- and Long-Distance Family Relocations - Vidal - 2015","p","<",0.05,"p < .05"
"1043","Dynamics of Domestic Labor Across Short- and Long-Distance Family Relocations - Vidal - 2015","p","<",0.01,"p < .01"
"1182","Dynamics of Domestic Labor Across Short- and Long-Distance Family Relocations - Vidal - 2015","p","<",0.01,"p < .01"
"1236","Dynamics of Domestic Labor Across Short- and Long-Distance Family Relocations - Vidal - 2015","p","<",0.1,"p < .10"
"1333","Dynamics of Domestic Labor Across Short- and Long-Distance Family Relocations - Vidal - 2015","p","<",0.01,"p < .01"
"1432","Dynamics of Domestic Labor Across Short- and Long-Distance Family Relocations - Vidal - 2015","p",">",0.1,"p > .10"
"1531","Dynamics of Domestic Labor Across Short- and Long-Distance Family Relocations - Vidal - 2015","p",">",0.1,"p > .10"
"1630","Dynamics of Domestic Labor Across Short- and Long-Distance Family Relocations - Vidal - 2015","p",">",0.1,"p > .10"
"1727","Dynamics of Domestic Labor Across Short- and Long-Distance Family Relocations - Vidal - 2015","p",">",0.1,"p > .10"
"1826","Dynamics of Domestic Labor Across Short- and Long-Distance Family Relocations - Vidal - 2015","p","<",0.1,"p < .10"
"1924","Dynamics of Domestic Labor Across Short- and Long-Distance Family Relocations - Vidal - 2015","p","<",0.01,"p < .01"
"2024","Dynamics of Domestic Labor Across Short- and Long-Distance Family Relocations - Vidal - 2015","p","<",0.01,"p < .01"
"2158","Dynamics of Domestic Labor Across Short- and Long-Distance Family Relocations - Vidal - 2015","p",">",0.1,"p > .10"
"2222","Dynamics of Domestic Labor Across Short- and Long-Distance Family Relocations - Vidal - 2015","p",">",0.1,"p > .10"
"2322","Dynamics of Domestic Labor Across Short- and Long-Distance Family Relocations - Vidal - 2015","p","<",0.1,"p < .10"
"2422","Dynamics of Domestic Labor Across Short- and Long-Distance Family Relocations - Vidal - 2015","p","<",0.05,"p < .05"
"2520","Dynamics of Domestic Labor Across Short- and Long-Distance Family Relocations - Vidal - 2015","p","<",0.01,"p < .01"
"1183","Eco-friendly Attitudes, Barriers to Participation, and... - Baker, Davis, Weaver","p","=",0,"p = .000"
"2159","Eco-friendly Attitudes, Barriers to Participation, and... - Baker, Davis, Weaver","p","=",0.011,"p = .011"
"3148","Eco-friendly Attitudes, Barriers to Participation, and... - Baker, Davis, Weaver","p","=",0,"p = .000"
"4147","Eco-friendly Attitudes, Barriers to Participation, and... - Baker, Davis, Weaver","p","=",0.001,"p = .001"
"5146","Eco-friendly Attitudes, Barriers to Participation, and... - Baker, Davis, Weaver","p","=",0.003,"p = .003"
"6143","Eco-friendly Attitudes, Barriers to Participation, and... - Baker, Davis, Weaver","p","=",0.043,"p = .043"
"7142","Eco-friendly Attitudes, Barriers to Participation, and... - Baker, Davis, Weaver","p","=",0.006,"p = .006"
"8140","Eco-friendly Attitudes, Barriers to Participation, and... - Baker, Davis, Weaver","p","=",0,"p = .000"
"969","Eco-friendly Attitudes, Barriers to Participation, and... - Baker, Davis, Weaver","p","<",0.05,"p < .05"
"1044","Eco-friendly Attitudes, Barriers to Participation, and... - Baker, Davis, Weaver","p","=",0,"p = .000"
"1184","Economic Motivations and Moral Controls Regulating Discrimination against Black and Hispanic Diners - Brewster","p","<",0.001,"p < .001"
"2160","Economic Motivations and Moral Controls Regulating Discrimination against Black and Hispanic Diners - Brewster","p","<",0.01,"p < .01"
"3149","Economic Motivations and Moral Controls Regulating Discrimination against Black and Hispanic Diners - Brewster","p","<",0.01,"p < .01"
"4148","Economic Motivations and Moral Controls Regulating Discrimination against Black and Hispanic Diners - Brewster","p","<",0.001,"p < .001"
"5147","Economic Motivations and Moral Controls Regulating Discrimination against Black and Hispanic Diners - Brewster","p","<",0.05,"p < .05"
"6144","Economic Motivations and Moral Controls Regulating Discrimination against Black and Hispanic Diners - Brewster","p","<",0.001,"p < .001"
"7143","Economic Motivations and Moral Controls Regulating Discrimination against Black and Hispanic Diners - Brewster","p","<",0.05,"p < .05"
"8141","Economic Motivations and Moral Controls Regulating Discrimination against Black and Hispanic Diners - Brewster","p","<",0.01,"p < .01"
"970","Economic Motivations and Moral Controls Regulating Discrimination against Black and Hispanic Diners - Brewster","p","<",0.01,"p < .01"
"1045","Economic Motivations and Moral Controls Regulating Discrimination against Black and Hispanic Diners - Brewster","p","<",0.01,"p < .01"
"1185","Economic Motivations and Moral Controls Regulating Discrimination against Black and Hispanic Diners - Brewster","p","<",0.001,"p < .001"
"1237","Economic Motivations and Moral Controls Regulating Discrimination against Black and Hispanic Diners - Brewster","p","<",0.01,"p < .01"
"1334","Economic Motivations and Moral Controls Regulating Discrimination against Black and Hispanic Diners - Brewster","p","<",0.05,"p < .05"
"1433","Economic Motivations and Moral Controls Regulating Discrimination against Black and Hispanic Diners - Brewster","p","<",0.001,"p < .001"
"1532","Economic Motivations and Moral Controls Regulating Discrimination against Black and Hispanic Diners - Brewster","p","<",0.05,"p < .05"
"1631","Economic Motivations and Moral Controls Regulating Discrimination against Black and Hispanic Diners - Brewster","p","<",0.001,"p < .001"
"1728","Economic Motivations and Moral Controls Regulating Discrimination against Black and Hispanic Diners - Brewster","p","<",0.001,"p < .001"
"1827","Economic Motivations and Moral Controls Regulating Discrimination against Black and Hispanic Diners - Brewster","p","<",0.001,"p < .001"
"1925","Economic Motivations and Moral Controls Regulating Discrimination against Black and Hispanic Diners - Brewster","p","=",0.211,"p = .211"
"2025","Economic Motivations and Moral Controls Regulating Discrimination against Black and Hispanic Diners - Brewster","p","<",0.05,"p < .05"
"2161","Economic Motivations and Moral Controls Regulating Discrimination against Black and Hispanic Diners - Brewster","p","=",0.472,"p = .472"
"2223","Economic Motivations and Moral Controls Regulating Discrimination against Black and Hispanic Diners - Brewster","p","<",0.05,"p < .05"
"2323","Economic Motivations and Moral Controls Regulating Discrimination against Black and Hispanic Diners - Brewster","p","<",0.001,"p < .001"
"2423","Economic Motivations and Moral Controls Regulating Discrimination against Black and Hispanic Diners - Brewster","p","=",0.259,"p = .259"
"2521","Economic Motivations and Moral Controls Regulating Discrimination against Black and Hispanic Diners - Brewster","p","<",0.001,"p < .001"
"2619","Economic Motivations and Moral Controls Regulating Discrimination against Black and Hispanic Diners - Brewster","p","<",0.05,"p < .05"
"2718","Economic Motivations and Moral Controls Regulating Discrimination against Black and Hispanic Diners - Brewster","p","<",0.01,"p < .01"
"1186","Economic Strain and Children's Behavior in the Aftermath of the Great Recession - Jeanne Leininger - 2014","p","<",0.05,"p < .05"
"2162","Economic Strain and Children's Behavior in the Aftermath of the Great Recession - Jeanne Leininger - 2014","p","<",0.01,"p < .01"
"3150","Economic Strain and Children's Behavior in the Aftermath of the Great Recession - Jeanne Leininger - 2014","p","<",0.01,"p < .01"
"4149","Economic Strain and Children's Behavior in the Aftermath of the Great Recession - Jeanne Leininger - 2014","p","<",0.01,"p < .01"
"5148","Economic Strain and Children's Behavior in the Aftermath of the Great Recession - Jeanne Leininger - 2014","p","<",0.05,"p < .05"
"6145","Economic Strain and Children's Behavior in the Aftermath of the Great Recession - Jeanne Leininger - 2014","p","<",0.01,"p < .01"
"7144","Economic Strain and Children's Behavior in the Aftermath of the Great Recession - Jeanne Leininger - 2014","p","<",0.32,"p < .320"
"8142","Economic Strain and Children's Behavior in the Aftermath of the Great Recession - Jeanne Leininger - 2014","p","<",0.91,"p < .91"
"972","Economic Strain and Children's Behavior in the Aftermath of the Great Recession - Jeanne Leininger - 2014","p","<",0.06,"p < .060"
"1046","Economic Strain and Children's Behavior in the Aftermath of the Great Recession - Jeanne Leininger - 2014","p","<",0.43,"p < .43"
"1187","Economic Strain and Children's Behavior in the Aftermath of the Great Recession - Jeanne Leininger - 2014","p","<",0.11,"p < .110"
"1238","Economic Strain and Children's Behavior in the Aftermath of the Great Recession - Jeanne Leininger - 2014","p","<",0.394,"p < .394"
"1335","Economic Strain and Children's Behavior in the Aftermath of the Great Recession - Jeanne Leininger - 2014","p","<",0.04,"p < .040"
"1434","Economic Strain and Children's Behavior in the Aftermath of the Great Recession - Jeanne Leininger - 2014","p","<",0.23,"p < .23"
"1533","Economic Strain and Children's Behavior in the Aftermath of the Great Recession - Jeanne Leininger - 2014","p","<",0.11,"p < .11"
"1632","Economic Strain and Children's Behavior in the Aftermath of the Great Recession - Jeanne Leininger - 2014","p","<",0.05,"p < .05"
