"Source","Statistic","df1","df2","Test.Comparison","Value","Reported.Comparison","Reported.P.Value","Computed","Raw","Error","DecisionError","OneTail","OneTailedInTxt","APAfactor"
"117","Gender and Children's Housework Time in China  Examining Behavior Modeling in Context - Hu - 2015","t",NA,439,"=",0.91,"=",0.36,0.363321861148134,"t(439) = 0.91, p = .360",TRUE,FALSE,FALSE,FALSE,0.08
"118","Gender and Children's Housework Time in China  Examining Behavior Modeling in Context - Hu - 2015","F",1,949,"=",2.44,"ns",NA,0.118609616879168,"F(1, 949) = 2.44, ns",FALSE,FALSE,FALSE,FALSE,0.08
"119","Gender and Children's Housework Time in China  Examining Behavior Modeling in Context - Hu - 2015","F",1,874,"=",2.95,"<",0.1,0.0862317864759012,"F(1, 874) = 2.95, p < .10",FALSE,FALSE,FALSE,FALSE,0.08
"120","Giacomo Negro, Fabiana Visentin, Anand Swaminathan, 2014","Z",NA,NA,"=",1.68,"=",0.046,0.0929573157274401,"Z = 1.68, p = .046",TRUE,TRUE,TRUE,FALSE,0.07
"121","Guests’ Reactions to In-Room Sustainability Initiatives - Alex M. Susskind, 2014","F",6,181,"=",3.83,"<",0.001,0.00127843177720582,"F(6, 181) = 3.83, p < .001",TRUE,FALSE,FALSE,FALSE,0.54
"122","Guests’ Reactions to In-Room Sustainability Initiatives - Alex M. Susskind, 2014","F",6,181,"=",2.96,"=",0.009,0.0088281939558976,"F(6, 181) = 2.96, p = .009",FALSE,FALSE,FALSE,FALSE,0.54
"123","Guests’ Reactions to In-Room Sustainability Initiatives - Alex M. Susskind, 2014","F",4,186,"=",17.91,"=",0.001,0.00000000000186024712758253,"F(4, 186) = 17.91, p = .001",TRUE,FALSE,TRUE,FALSE,0.54
"124","Guests’ Reactions to In-Room Sustainability Initiatives - Alex M. Susskind, 2014","F",3,178,"=",4.62,"=",0.004,0.00387559955323865,"F(3, 178) = 4.62, p = .004",FALSE,FALSE,FALSE,FALSE,0.54
"125","Guests’ Reactions to In-Room Sustainability Initiatives - Alex M. Susskind, 2014","F",3,184,"=",0.64,"=",0.59,0.590186928264793,"F(3, 184) = .64, p = .59",FALSE,FALSE,FALSE,FALSE,0.54
"126","Guests’ Reactions to In-Room Sustainability Initiatives - Alex M. Susskind, 2014","F",3,184,"=",1.21,"=",0.31,0.307473647540881,"F(3, 184) = 1.21, p = .31",FALSE,FALSE,FALSE,FALSE,0.54
"127","Guests’ Reactions to In-Room Sustainability Initiatives - Alex M. Susskind, 2014","F",1,189,"=",0.34,"=",0.56,0.56052431932661,"F(1, 189) = .34, p = .56",FALSE,FALSE,FALSE,FALSE,0.54
"128","Guests’ Reactions to In-Room Sustainability Initiatives - Alex M. Susskind, 2014","F",4,183,"=",6.48,"<",0.001,0.0000672734678501777,"F(4, 183) = 6.48, p < .001",FALSE,FALSE,FALSE,FALSE,0.54
"129","Guests’ Reactions to In-Room Sustainability Initiatives - Alex M. Susskind, 2014","F",4,183,"=",4.5,"=",0.002,0.00171925923496151,"F(4, 183) = 4.50, p = .002",FALSE,FALSE,FALSE,FALSE,0.54
"130","Guests’ Reactions to In-Room Sustainability Initiatives - Alex M. Susskind, 2014","t",NA,186,"=",3.3,"<",0.001,0.00115883658839289,"t(186) = 3.30, p < .001",TRUE,FALSE,FALSE,FALSE,0.54
"131","Guests’ Reactions to In-Room Sustainability Initiatives - Alex M. Susskind, 2014","t",NA,186,"=",2.68,"=",0.006,0.00802298444774634,"t(186) = 2.68, p = .006",TRUE,FALSE,FALSE,FALSE,0.54
"132","Guests’ Reactions to In-Room Sustainability Initiatives - Alex M. Susskind, 2014","F",4,186,"=",15.87,"<",0.001,0.0000000000340753300882005,"F(4, 186) = 15.87, p < .001",FALSE,FALSE,FALSE,FALSE,0.54
"133","Guests’ Reactions to In-Room Sustainability Initiatives - Alex M. Susskind, 2014","t",NA,189,"=",5.77,"<",0.001,0.0000000319535759037099,"t(189) = 5.77, p < .001",FALSE,FALSE,FALSE,FALSE,0.54
"134","Have Authoritarian Parenting Practices and Roles Changed in the Last 50 Years  - Trifan - 2014","Chi2",2,NA,"=",169.64,"<",0.001,0.000000000000000000000000000000000000145593519634576,";2(2) = 169.64, p < .001",FALSE,FALSE,FALSE,FALSE,0.43
"135","Have Authoritarian Parenting Practices and Roles Changed in the Last 50 Years  - Trifan - 2014","Chi2",2,NA,"=",89.3,"<",0.001,0.0000000000000000000406210722490288,";2(2) = 89.30, p < .001",FALSE,FALSE,FALSE,FALSE,0.43
"136","Have Authoritarian Parenting Practices and Roles Changed in the Last 50 Years  - Trifan - 2014","Chi2",2,NA,"=",176.42,"<",0.001,0.00000000000000000000000000000000000000490776491203347,";2(2) = 176.42, p < .001",FALSE,FALSE,FALSE,FALSE,0.43
"137","Have Authoritarian Parenting Practices and Roles Changed in the Last 50 Years  - Trifan - 2014","Chi2",4,NA,"=",113.02,"<",0.001,0.000000000000000000000016510574882442,";2(4) = 113.02, p < .001",FALSE,FALSE,FALSE,FALSE,0.43
"138","Have Authoritarian Parenting Practices and Roles Changed in the Last 50 Years  - Trifan - 2014","Chi2",4,NA,"=",225.95,"<",0.001,0.00000000000000000000000000000000000000000000000982631105744013,";2(4) = 225.95, p < .001",FALSE,FALSE,FALSE,FALSE,0.43
"139","Have Authoritarian Parenting Practices and Roles Changed in the Last 50 Years  - Trifan - 2014","Chi2",4,NA,"=",33.97,"<",0.001,0.000000755820499976404,";2(4) = 33.97, p < .001",FALSE,FALSE,FALSE,FALSE,0.43
"140","High Educational Aspirations Among Pregnant... - East - 2014","Chi2",23,NA,"=",26.53,"ns",NA,0.276489848831832,";2(23) = 26.53, ns",FALSE,FALSE,FALSE,FALSE,0.06
"141","History of Childhood Abuse and Intergenerational Support to Mothers in Adulthood - Kong - 2016","Chi2",135,NA,"=",190.28,"<",0.001,0.00122204077901441,";2(135) = 190.28, p < .001",TRUE,FALSE,FALSE,FALSE,0.07
"142","How Childhood Circumstances Moderate the Long-Term Impact of Divorce on Father–Child Relationships - Kalmijn - 2015","Z",NA,NA,"=",4.75,"<",0.01,0.00000203416648513741,"Z = 4.75, p < .01",FALSE,FALSE,FALSE,FALSE,0.12
"143","How Early Life Religious Exposure Relates to the Timing of First Birth - Pearce - 2016","Z",NA,NA,"=",-1.773,"=",0.07,0.0762287068710911,"Z = -1.773, p = .07",TRUE,FALSE,FALSE,FALSE,0.44
"144","How Early Life Religious Exposure Relates to the Timing of First Birth - Pearce - 2016","Z",NA,NA,"=",2.122,"=",0.03,0.0338377380432631,"Z = 2.122, p = .03",FALSE,FALSE,FALSE,FALSE,0.44
"145","How Early Life Religious Exposure Relates to the Timing of First Birth - Pearce - 2016","Z",NA,NA,"=",2.672,"<",0.01,0.00754006484432709,"Z = 2.672, p < .01",FALSE,FALSE,FALSE,FALSE,0.44
"146","How Early Life Religious Exposure Relates to the Timing of First Birth - Pearce - 2016","Z",NA,NA,"=",-2.733,"<",0.01,0.00627603323148129,"Z = -2.733, p < .01",FALSE,FALSE,FALSE,FALSE,0.44
"147","How Early Life Religious Exposure Relates to the Timing of First Birth - Pearce - 2016","Z",NA,NA,"=",2.161,"=",0.03,0.0306953394150823,"Z = 2.161, p = .03",FALSE,FALSE,FALSE,FALSE,0.44
"148","How Early Life Religious Exposure Relates to the Timing of First Birth - Pearce - 2016","Z",NA,NA,"=",5.586,"<",0.01,0.0000000232359234497498,"Z = 5.586, p < .01",FALSE,FALSE,FALSE,FALSE,0.44
"149","How Early Life Religious Exposure Relates to the Timing of First Birth - Pearce - 2016","Z",NA,NA,"=",2.11,"=",0.03,0.0348583558753142,"Z = 2.11, p = .03",FALSE,FALSE,FALSE,FALSE,0.44
"150","How Early Life Religious Exposure Relates to the Timing of First Birth - Pearce - 2016","Z",NA,NA,"=",12.35,"<",0.01,0.0000000000000000000000000000000000487114281335442,"Z = 12.35, p < .01",FALSE,FALSE,FALSE,FALSE,0.44
"151","Hugs, Not Hits  Warmth and Spanking as Predictors of Child Social Competence - Altschul - 2016","Chi2",1,NA,"=",13.35,"<",0.001,0.000258422624686341,";2(1) = 13.35, p < .001",FALSE,FALSE,FALSE,FALSE,0.32
"152","Hugs, Not Hits  Warmth and Spanking as Predictors of Child Social Competence - Altschul - 2016","Chi2",1,NA,"=",0.27,"=",0.61,0.603331772291867,";2(1) = 0.27, p = .61",FALSE,FALSE,FALSE,FALSE,0.32
"153","Hugs, Not Hits  Warmth and Spanking as Predictors of Child Social Competence - Altschul - 2016","Chi2",1,NA,"=",13.85,"<",0.001,0.000197996736945992,";2(1) = 13.85, p < .001",FALSE,FALSE,FALSE,FALSE,0.32
"154","Hugs, Not Hits  Warmth and Spanking as Predictors of Child Social Competence - Altschul - 2016","Chi2",1,NA,"=",0.25,"=",0.62,0.617075077451974,";2(1) = 0.25, p = .62",FALSE,FALSE,FALSE,FALSE,0.32
"155","Hugs, Not Hits  Warmth and Spanking as Predictors of Child Social Competence - Altschul - 2016","Chi2",1,NA,"=",11.63,"<",0.001,0.000648965547607567,";2(1) = 11.63, p < .001",FALSE,FALSE,FALSE,FALSE,0.32
"156","Hugs, Not Hits  Warmth and Spanking as Predictors of Child Social Competence - Altschul - 2016","Chi2",1,NA,"=",0.049,"ns",NA,0.824812574194006,";2(1) = .049, ns",FALSE,FALSE,FALSE,FALSE,0.32
"157","Hugs, Not Hits  Warmth and Spanking as Predictors of Child Social Competence - Altschul - 2016","Chi2",21,NA,"=",43.87,"=",0.002,0.00243046061029646,";2(21) = 43.87, p = .002",FALSE,FALSE,FALSE,FALSE,0.32
"158","Implementing a Delight Strategy in a Restaurant Setting - Donald C. Barnes, Tracy Meyer, Brian R. Kinard, 2016","F",2,210,"=",55.94,"<",0.001,0.0000000000000000000335086335663658,"F(2, 210) = 55.94, p < .001",FALSE,FALSE,FALSE,FALSE,0.28
"159","Implementing a Delight Strategy in a Restaurant Setting - Donald C. Barnes, Tracy Meyer, Brian R. Kinard, 2016","F",2,210,"=",0.104,"=",0.902,0.901271685381908,"F(2, 210) = 0.104, p = .902",FALSE,FALSE,FALSE,FALSE,0.28
"160","Implementing a Delight Strategy in a Restaurant Setting - Donald C. Barnes, Tracy Meyer, Brian R. Kinard, 2016","F",1,178,"=",293.14,"<",0.001,0.00000000000000000000000000000000000000179778056074797,"F(1, 178) = 293.14, p < .001",FALSE,FALSE,FALSE,FALSE,0.28
"161","Implementing a Delight Strategy in a Restaurant Setting - Donald C. Barnes, Tracy Meyer, Brian R. Kinard, 2016","F",2,178,"=",9.23,"<",0.001,0.000153455257123737,"F(2, 178) = 9.23, p < .001",FALSE,FALSE,FALSE,FALSE,0.28
"162","Implementing a Delight Strategy in a Restaurant Setting - Donald C. Barnes, Tracy Meyer, Brian R. Kinard, 2016","F",2,178,"=",4.81,"<",0.01,0.0092371392512503,"F(2, 178) = 4.81, p < .01",FALSE,FALSE,FALSE,FALSE,0.28
"163","Implementing a Delight Strategy in a Restaurant Setting - Donald C. Barnes, Tracy Meyer, Brian R. Kinard, 2016","F",2,94,"=",135.97,"<",0.001,0.000000000000000000000000000180611160579069,"F(2, 94) = 135.97, p < .001",FALSE,FALSE,FALSE,FALSE,0.28
"164","Implementing a Delight Strategy in a Restaurant Setting - Donald C. Barnes, Tracy Meyer, Brian R. Kinard, 2016","F",2,94,"=",1.78,"=",0.175,0.174274928016953,"F(2, 94) = 1.78, p = .175",FALSE,FALSE,FALSE,FALSE,0.28
"165","Implementing a Delight Strategy in a Restaurant Setting - Donald C. Barnes, Tracy Meyer, Brian R. Kinard, 2016","t",NA,69,"=",9.05,"<",0.001,0.000000000000242044585678932,"t(69) = 9.05, p < .001",FALSE,FALSE,FALSE,FALSE,0.28
"166","Implementing a Delight Strategy in a Restaurant Setting - Donald C. Barnes, Tracy Meyer, Brian R. Kinard, 2016","t",NA,69,"=",0.579,"=",0.564,0.56447460093036,"t(69) = 0.579, p = .564",FALSE,FALSE,FALSE,FALSE,0.28
"167","Incongruent Teen Pregnancy Attitudes, Coparenting Conflict, and Support Among Mexican-Origin Adolescent Mothers - Bravo - 2015","t",NA,203,"=",-0.92,"=",0.36,0.358664702086809,"t (203) = -0.92, p = .36",FALSE,FALSE,FALSE,TRUE,0.14
"168","Incongruent Teen Pregnancy Attitudes, Coparenting Conflict, and Support Among Mexican-Origin Adolescent Mothers - Bravo - 2015","Chi2",18,NA,"=",20,"=",0.33,0.332819678750719,";2 (18) = 20.00, p = .33",FALSE,FALSE,FALSE,TRUE,0.14
"169","Indicators of Adolescent Depression and Relationship Progression in Emerging Adulthood - Sandberg-Thoma - 2014","F",2,126,"=",12.62,"<",0.001,0.0000101005312096123,"F(2, 126) = 12.62, p < .001",FALSE,FALSE,FALSE,FALSE,0.33
"170","Indicators of Adolescent Depression and Relationship Progression in Emerging Adulthood - Sandberg-Thoma - 2014","F",2,126,"=",13.24,"<",0.001,0.00000603855039211413,"F(2, 126) = 13.24, p < .001",FALSE,FALSE,FALSE,FALSE,0.33
"171","Indicators of Adolescent Depression and Relationship Progression in Emerging Adulthood - Sandberg-Thoma - 2014","F",2,126,"=",32.51,"<",0.001,0.00000000000412455763343418,"F(2, 126) = 32.51, p < .001",FALSE,FALSE,FALSE,FALSE,0.33
"172","Indicators of Adolescent Depression and Relationship Progression in Emerging Adulthood - Sandberg-Thoma - 2014","F",2,126,"=",43.94,"<",0.001,0.00000000000000333137322137995,"F(2, 126) = 43.94, p < .001",FALSE,FALSE,FALSE,FALSE,0.33
"173","Indicators of Adolescent Depression and Relationship Progression in Emerging Adulthood - Sandberg-Thoma - 2014","F",2,126,"=",3.97,"=",0.02,0.0212811837987204,"F(2, 126) = 3.97, p = .02",FALSE,FALSE,FALSE,FALSE,0.33
"174","Indicators of Adolescent Depression and Relationship Progression in Emerging Adulthood - Sandberg-Thoma - 2014","F",2,126,"=",4.39,"=",0.01,0.0143529398280089,"F(2, 126) = 4.39, p = .01",FALSE,FALSE,FALSE,FALSE,0.33
"175","Interparental Relationship Sensitivity Leads to Adolescent Internalizing Problems - Schlomer - 2015","Chi2",1,NA,"=",0.03,"ns",NA,0.862490230135922,";2(1) = 0.03, ns",FALSE,FALSE,FALSE,TRUE,0.47
"176","Interparental Relationship Sensitivity Leads to Adolescent Internalizing Problems - Schlomer - 2015","Chi2",5,NA,"=",5.54,"ns",NA,0.353579669722831,";2(5) = 5.54, ns",FALSE,FALSE,FALSE,TRUE,0.47
"177","Interparental Relationship Sensitivity Leads to Adolescent Internalizing Problems - Schlomer - 2015","Chi2",5,NA,"=",3.32,"ns",NA,0.650781111423196,";2(5) = 3.32, ns",FALSE,FALSE,FALSE,TRUE,0.47
"178","Interparental Relationship Sensitivity Leads to Adolescent Internalizing Problems - Schlomer - 2015","Chi2",10,NA,"=",9.87,"ns",NA,0.451971815389235,";2(10) = 9.87, ns",FALSE,FALSE,FALSE,TRUE,0.47
"179","Interparental Relationship Sensitivity Leads to Adolescent Internalizing Problems - Schlomer - 2015","Chi2",8,NA,"=",15.56,"<",0.05,0.049128702796891,";2(8) = 15.56, p < .05",FALSE,FALSE,FALSE,TRUE,0.47
"180","Interparental Relationship Sensitivity Leads to Adolescent Internalizing Problems - Schlomer - 2015","Chi2",10,NA,"=",9.87,"ns",NA,0.451971815389235,";2(10) = 9.87, ns",FALSE,FALSE,FALSE,TRUE,0.47
"181","Interparental Relationship Sensitivity Leads to Adolescent Internalizing Problems - Schlomer - 2015","Chi2",1,NA,"=",1.37,"ns",NA,0.241811883704447,";2(1) = 1.37, ns",FALSE,FALSE,FALSE,TRUE,0.47
"182","Interparental Relationship Sensitivity Leads to Adolescent Internalizing Problems - Schlomer - 2015","Chi2",1,NA,"=",3.69,"=",0.05,0.0547396162297838,";2(1) = 3.69, p = .05",FALSE,FALSE,FALSE,TRUE,0.47
"183","Interparental Relationship Sensitivity Leads to Adolescent Internalizing Problems - Schlomer - 2015","Chi2",1,NA,"=",6.78,"<",0.01,0.00921848900835384,";2(1) = 6.78, p < .01",FALSE,FALSE,FALSE,TRUE,0.47
"184","Investigating Family Shared Realities With Factor Mixture Modeling - Dyer - 2015","Chi2",39,NA,"=",44.71,">",0.05,0.244429631053251,";2(39) = 44.71, p > .05",FALSE,FALSE,FALSE,FALSE,0.36
"185","Investigating Family Shared Realities With Factor Mixture Modeling - Dyer - 2015","Chi2",51,NA,"=",113.26,"<",0.001,0.00000126739866284654,";2(51) = 113.26, p < .001",FALSE,FALSE,FALSE,FALSE,0.36
"186","Investigating Family Shared Realities With Factor Mixture Modeling - Dyer - 2015","Chi2",204,NA,"=",225.59,">",0.05,0.14319883646198,";2(204) = 225.59, p > .05",FALSE,FALSE,FALSE,FALSE,0.36
"187","Investigating Family Shared Realities With Factor Mixture Modeling - Dyer - 2015","Chi2",9,NA,"=",20.57,"<",0.05,0.0147027629727121,";2(9) = 20.57, p < .05",FALSE,FALSE,FALSE,FALSE,0.36
"188","Investigating Family Shared Realities With Factor Mixture Modeling - Dyer - 2015","Chi2",9,NA,"=",24.73,"<",0.05,0.0032848272173549,";2(9) = 24.73, p < .05",FALSE,FALSE,FALSE,FALSE,0.36
"189","Investigating Family Shared Realities With Factor Mixture Modeling - Dyer - 2015","Chi2",8,NA,"=",10.32,"<",0.05,0.243280500908112,";2(8) = 10.32, p < .05",TRUE,TRUE,FALSE,FALSE,0.36
"190","Investigating Family Shared Realities With Factor Mixture Modeling - Dyer - 2015","Chi2",285,NA,"=",451.15,"<",0.001,0.00000000123339289071728,";2(285) = 451.15, p < .001",FALSE,FALSE,FALSE,FALSE,0.36
"191","Investigating Family Shared Realities With Factor Mixture Modeling - Dyer - 2015","Chi2",3,NA,"=",3.81,">",0.05,0.282725103737327,";2(3) = 3.81, p > .05",FALSE,FALSE,FALSE,FALSE,0.36
"192","Investigating Family Shared Realities With Factor Mixture Modeling - Dyer - 2015","Chi2",5,NA,"=",14.73,"=",0.01,0.0115805063397045,";2(5) = 14.73, p = .01",FALSE,FALSE,FALSE,FALSE,0.36
"193","Kenneth F. Ferraro, Markus H. Schafer, Lindsay R. Wilkinson, 2016","Z",NA,NA,"=",3.825,"<",0.001,0.000130772086485414,"Z = 3.825, p < .001",FALSE,FALSE,FALSE,FALSE,0.45
"194","Kenneth F. Ferraro, Markus H. Schafer, Lindsay R. Wilkinson, 2016","Z",NA,NA,"=",3.925,"<",0.001,0.0000867297379610556,"Z = 3.925, p < .001",FALSE,FALSE,FALSE,FALSE,0.45
"195","Kenneth F. Ferraro, Markus H. Schafer, Lindsay R. Wilkinson, 2016","Z",NA,NA,"=",2.473,"<",0.05,0.0133984142984747,"Z = 2.473, p < .05",FALSE,FALSE,FALSE,FALSE,0.45
"196","Kenneth F. Ferraro, Markus H. Schafer, Lindsay R. Wilkinson, 2016","Z",NA,NA,"=",-1.966,"<",0.05,0.0492986106111861,"Z = -1.966, p < .05",FALSE,FALSE,FALSE,FALSE,0.45
"197","Kenneth F. Ferraro, Markus H. Schafer, Lindsay R. Wilkinson, 2016","Z",NA,NA,"=",2.197,"<",0.05,0.0280204462079838,"Z = 2.197, p < .05",FALSE,FALSE,FALSE,FALSE,0.45
"198","Kenneth F. Ferraro, Markus H. Schafer, Lindsay R. Wilkinson, 2016","Z",NA,NA,"=",2.892,"<",0.01,0.00382797946926474,"Z = 2.892, p < .01",FALSE,FALSE,FALSE,FALSE,0.45
"199","Kenneth F. Ferraro, Markus H. Schafer, Lindsay R. Wilkinson, 2016","Z",NA,NA,"=",-2.023,"<",0.05,0.0430731475179407,"Z = -2.023, p < .05",FALSE,FALSE,FALSE,FALSE,0.45
"200","Kenneth F. Ferraro, Markus H. Schafer, Lindsay R. Wilkinson, 2016","Z",NA,NA,"=",2.24,"<",0.05,0.0250909228718931,"Z = 2.240, p < .05",FALSE,FALSE,FALSE,FALSE,0.45
"201","Kenneth F. Ferraro, Markus H. Schafer, Lindsay R. Wilkinson, 2016","Z",NA,NA,"=",4.24,"<",0.001,0.0000223519786642411,"Z = 4.240, p < .001",FALSE,FALSE,FALSE,FALSE,0.45
"202","Kenneth F. Ferraro, Markus H. Schafer, Lindsay R. Wilkinson, 2016","Z",NA,NA,"=",2.042,"<",0.05,0.041151531330212,"Z = 2.042, p < .05",FALSE,FALSE,FALSE,FALSE,0.45
"203","Latin American Immigration, Maternal Education... - Crosnoe - 2015","Z",NA,NA,"=",5.68,"<",0.001,0.0000000134694742031151,"Z = 5.68, p < .001",FALSE,FALSE,FALSE,FALSE,0.18
"204","Latin American Immigration, Maternal Education... - Crosnoe - 2015","Z",NA,NA,"=",1.81,"<",0.1,0.0702957871680776,"Z = 1.81, p < .10",FALSE,FALSE,FALSE,FALSE,0.18
"205","Latin American Immigration, Maternal Education... - Crosnoe - 2015","Z",NA,NA,"=",3.41,"<",0.001,0.000649628794837756,"Z = 3.41, p < .001",FALSE,FALSE,FALSE,FALSE,0.18
"206","Lauren A. Rivera, András Tilcsik, 2016","Z",NA,NA,"=",2.11,"<",0.05,0.0348583558753142,"Z = 2.11, p < .05",FALSE,FALSE,FALSE,FALSE,0.06
"207","Lauren A. Rivera, András Tilcsik, 2016","Z",NA,NA,"=",2.1,"<",0.05,0.0357288411256331,"Z = 2.10, p < .05",FALSE,FALSE,FALSE,FALSE,0.06
"208","Longitudinal Mediators of Relations Between Family Violence and Adolescent Dating Aggression Perpetration - Reyes - 2015","Chi2",12,NA,"=",13.84,"=",0.31,0.311042136207818,";2(12) = 13.84, p = .31",FALSE,FALSE,FALSE,FALSE,0.13
"209","Longitudinal Mediators of Relations Between Family Violence and Adolescent Dating Aggression Perpetration - Reyes - 2015","Chi2",4,NA,"=",1.37,"=",0.85,0.849392036833581,";2(4) = 1.37, p = .85",FALSE,FALSE,FALSE,FALSE,0.13
"210","Longitudinal Mediators of Relations Between Family Violence and Adolescent Dating Aggression Perpetration - Reyes - 2015","Chi2",6,NA,"=",18,"=",0.006,0.00623219510637732,";2(6) = 18.00, p = .006",FALSE,FALSE,FALSE,FALSE,0.13
"211","Longitudinal Mediators of Relations Between Family Violence and Adolescent Dating Aggression Perpetration - Reyes - 2015","Chi2",5,NA,"=",180.32,"<",0.001,0.000000000000000000000000000000000000457192727589278,";2(5) = 180.32, p < .001",FALSE,FALSE,FALSE,FALSE,0.13
"212","Longitudinal Mediators of Relations Between Family Violence and Adolescent Dating Aggression Perpetration - Reyes - 2015","Chi2",1,NA,"=",7.43,"=",0.006,0.00641453418165836,";2(1) = 7.43, p = .006",FALSE,FALSE,FALSE,FALSE,0.13
"213","Longitudinal Mediators of Relations Between Family Violence and Adolescent Dating Aggression Perpetration - Reyes - 2015","Chi2",3,NA,"=",7.88,"=",0.048,0.0485579505775245,";2(3) = 7.88, p = .048",FALSE,FALSE,FALSE,FALSE,0.13
"214","M. B. Fallin Hunzaker, 2016","t",NA,18,"=",4.087,"<",0.001,0.000691949296686468,"t(18) = 4.087, p < .001",FALSE,FALSE,FALSE,TRUE,0.06
"215","Marriage and Offending  Examining the Significance of Marriage among the Children of Immigrants - Bersani","Z",NA,NA,"=",2.462,"<",0.01,0.0138164666755313,"Z = 2.462, p < .01",TRUE,FALSE,FALSE,FALSE,1
"216","Marriage and Offending  Examining the Significance of Marriage among the Children of Immigrants - Bersani","Z",NA,NA,"=",2.303,"<",0.01,0.0212788430938835,"Z = 2.303, p < .01",TRUE,FALSE,FALSE,FALSE,1
"217","Marriage and Offending  Examining the Significance of Marriage among the Children of Immigrants - Bersani","Z",NA,NA,"=",2.944,"<",0.001,0.00323999999563913,"Z = 2.944, p < .001",TRUE,FALSE,FALSE,FALSE,1
"218","Maternal Employment and Parenting Through Middle Childhood  Contextualizing Factors","Z",NA,NA,"=",21.84,"<",0.001,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000967552722330314,"Z = 21.84, p < .001",FALSE,FALSE,FALSE,FALSE,0.19
"219","Maternal Employment and Parenting Through Middle Childhood  Contextualizing Factors","Z",NA,NA,"=",69.09,"<",0.001,0,"Z = 69.09, p < .001",FALSE,FALSE,FALSE,FALSE,0.19
"220","Maternal Employment and Parenting Through Middle Childhood  Contextualizing Factors","Z",NA,NA,"=",20.65,"<",0.001,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000976198404008449,"Z = 20.65, p < .001",FALSE,FALSE,FALSE,FALSE,0.19
"221","Maternal Employment and Parenting Through Middle Childhood  Contextualizing Factors","Z",NA,NA,"=",58.4,"<",0.001,0,"Z = 58.40, p < .001",FALSE,FALSE,FALSE,FALSE,0.19
"222","Maternal Work–Family Conflict and Psychological Distress  Reciprocal Relationships Over 8 Years - Westrupp - 2015","Chi2",6,NA,"=",7.56,"=",0.27,0.272142337091094,";2(6) = 7.56, p = .27",FALSE,FALSE,FALSE,TRUE,0.31
"223","Maternal Work–Family Conflict and Psychological Distress  Reciprocal Relationships Over 8 Years - Westrupp - 2015","Chi2",6,NA,"=",6.956,"=",0.325,0.324935485457182,";2(6) = 6.956, p = .325",FALSE,FALSE,FALSE,TRUE,0.31
"224","Maternal Work–Family Conflict and Psychological Distress  Reciprocal Relationships Over 8 Years - Westrupp - 2015","Chi2",6,NA,"=",8.363,"=",0.213,0.212696693171456,";2(6) = 8.363, p = .213",FALSE,FALSE,FALSE,TRUE,0.31
"225","Maternal Work–Family Conflict and Psychological Distress  Reciprocal Relationships Over 8 Years - Westrupp - 2015","Chi2",6,NA,"=",6.318,"=",0.389,0.388526185078404,";2(6) = 6.318, p = .389",FALSE,FALSE,FALSE,TRUE,0.31
"226","Maternal Work Absence - Nes - 2015","Chi2",1,NA,"=",187.7,"<",0.001,0.00000000000000000000000000000000000000000101015278653166,";2(1) = 187.70, p < .001",FALSE,FALSE,FALSE,FALSE,0.36
"227","Maternal Work Absence - Nes - 2015","Chi2",1,NA,"=",251.17,"<",0.001,0.0000000000000000000000000000000000000000000000000000000144334936217168,";2(1) = 251.17, p < .001",FALSE,FALSE,FALSE,FALSE,0.36
"228","Maternal Work Absence - Nes - 2015","Chi2",1,NA,"=",264.77,"<",0.001,0.0000000000000000000000000000000000000000000000000000000000156604999663611,";2(1) = 264.77, p < .001",FALSE,FALSE,FALSE,FALSE,0.36
"229","Maternal Work Absence - Nes - 2015","Chi2",1,NA,"=",61.28,"<",0.001,0.00000000000000495084040240837,";2(1) = 61.28, p < .001",FALSE,FALSE,FALSE,FALSE,0.36
"230","Maternal Work Absence - Nes - 2015","Chi2",1,NA,"=",59.98,"<",0.001,0.00000000000000958261877280324,";2(1) = 59.98, p < .001",FALSE,FALSE,FALSE,FALSE,0.36
"231","Measuring Constructs in Family Science  How Can Item Response Theory Improve Precision and Validity  - Gordon - 2015","Chi2",15,NA,"=",231.02,"<",0.001,0.0000000000000000000000000000000000000000987322679236066,";2(15) = 231.02, p < .001",FALSE,FALSE,FALSE,FALSE,0.33
"232","Ming D. Leung, 2014","Chi2",1,NA,"=",3.29,"<",0.07,0.0697030222154038,"‡2(1) = 3.29, p < .07",FALSE,FALSE,FALSE,FALSE,0.08
"233","New Parents' Psychological Adjustment and Trajectories of Early Parental Involvement - Jia - 2015","Chi2",32,NA,"=",52.19,"=",0.001,0.0135594564407759,";2(32) = 52.19, p = .001",TRUE,FALSE,FALSE,FALSE,0.05
"234","New Parents' Psychological Adjustment and Trajectories of Early Parental Involvement - Jia - 2015","Chi2",32,NA,"=",44.73,"=",0.067,0.0668363599404636,";2(32) = 44.73, p = .067",FALSE,FALSE,FALSE,FALSE,0.05
"235","Parent Involvement in Head Start and Children's Development  Indirect Effects Through Parenting - Ansari - 2015","Chi2",248,NA,"=",639.79,"<",0.001,0.00000000000000000000000000000000000205238195211034,";2(248) = 639.79, p < .001",FALSE,FALSE,FALSE,FALSE,0.06
